file,mouse,kind,detail,before,after
female1bottom000126_09_0212_00_19,F1,fast clicks merged,attending: 4 gap(s) <= 0.35s filled,14,10
female1bottom000126_09_0212_00_19,F1,fast clicks merged,lickbite: 29 gap(s) <= 0.35s filled,49,20
female1bottom000126_09_0212_00_19,F1,nominal duration applied,"guarding: 2 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",0.57s total,2.00s total
female1bottom000126_09_0212_00_19,F1,fast clicks merged,escape: 18 gap(s) <= 0.35s filled,104,86
female1bottom000126_09_0212_00_19,F1,metadata filled,sessionNo,(empty),1
female1bottom000126_09_0212_00_19,F1,metadata filled,mouseID,(empty),F1
female1bottom000126_09_0212_00_19,F1,metadata filled,sexID,(empty),F
female1bottom000126_09_0212_00_19,F1,metadata filled,dayNo,(empty),1
female1bottom000126_09_0212_00_19,F1,metadata filled,phase,Baseline,Baseline (no injection)
female1bottom000126_09_0212_00_19,F1,metadata filled,treatment,(empty),Vehicle
female1bottom000126_09_0212_00_19,F1,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
female2bottom000226_09_0212_33_04_009,F2,stimulus mis-key (clock window),t=303.9s is in block 1 (300-600s),Mild touch,Heat
female2bottom000226_09_0212_33_04_009,F2,stimulus mis-key (clock window),t=385.5s is in block 1 (300-600s),Mild touch,Heat
female2bottom000226_09_0212_33_04_009,F2,stimulus mis-key (clock window),t=423.5s is in block 1 (300-600s),Mild touch,Heat
female2bottom000226_09_0212_33_04_009,F2,stimulus mis-key (clock window),t=496.3s is in block 1 (300-600s),Mild touch,Heat
female2bottom000226_09_0212_33_04_009,F2,stimulus mis-key (clock window),t=574.0s is in block 1 (300-600s),Mild touch,Heat
female2bottom000226_09_0212_33_04_009,F2,stimulus mis-key (clock window),t=577.7s is in block 1 (300-600s),Mild touch,Heat
female2bottom000226_09_0212_33_04_009,F2,stimulus mis-key (clock window),t=737.5s is in block 2 (660-960s),Heat,Mild touch
female2bottom000226_09_0212_33_04_009,F2,stimulus mis-key (clock window),t=807.5s is in block 2 (660-960s),Heat,Mild touch
female2bottom000226_09_0212_33_04_009,F2,stimulus mis-key (clock window),t=810.7s is in block 2 (660-960s),Heat,Mild touch
female2bottom000226_09_0212_33_04_009,F2,fast clicks merged,attending: 14 gap(s) <= 0.35s filled,33,19
female2bottom000226_09_0212_33_04_009,F2,fast clicks merged,lickbite: 28 gap(s) <= 0.35s filled,79,51
female2bottom000226_09_0212_33_04_009,F2,fast clicks merged,guarding: 6 gap(s) <= 0.35s filled,30,24
female2bottom000226_09_0212_33_04_009,F2,nominal duration applied,"guarding: 21 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",10.70s total,17.60s total
female2bottom000226_09_0212_33_04_009,F2,fast clicks merged,escape: 30 gap(s) <= 0.35s filled,100,70
female2bottom000226_09_0212_33_04_009,F2,metadata filled,sessionNo,(empty),2
female2bottom000226_09_0212_33_04_009,F2,metadata filled,mouseID,(empty),F2
female2bottom000226_09_0212_33_04_009,F2,metadata filled,sexID,(empty),F
female2bottom000226_09_0212_33_04_009,F2,metadata filled,dayNo,(empty),1
female2bottom000226_09_0212_33_04_009,F2,metadata filled,phase,Baseline,Baseline (no injection)
female2bottom000226_09_0212_33_04_009,F2,metadata filled,treatment,(empty),Vehicle
female2bottom000226_09_0212_33_04_009,F2,guardMin,tap scoring: a duration filter would discard nearly every mark,2.0,0.0
female3bottom000326_09_0213_03_46_008,F3,stimulus name from sheet,slot 2 (block 2 of the session),Mild touch,Light touch
female3bottom000326_09_0213_03_46_008,F3,fast clicks merged,attending: 9 gap(s) <= 0.35s filled,24,15
female3bottom000326_09_0213_03_46_008,F3,fast clicks merged,lickbite: 42 gap(s) <= 0.35s filled,98,56
female3bottom000326_09_0213_03_46_008,F3,fast clicks merged,guarding: 9 gap(s) <= 0.35s filled,34,25
female3bottom000326_09_0213_03_46_008,F3,nominal duration applied,"guarding: 22 event(s) extended to 1s each (a tap records the keypress, not the behaviour). Event COUNT is unchanged",11.17s total,16.83s total
