mouse,behaviour,stimulus,n_deliv_day1,n_deliv_day2,rate_day1,rate_day2,rate_ratio,p_rate,rr_lo,rr_hi,p_day1,p_day2,delta,odds_ratio,ci_lo,ci_hi,p_fisher,min_detectable_delta,q_fisher,q_rate
F1,attending,ALL,87,72,0.12643678160919541,0.05555555555555555,0.43939393939393934,0.36640138192093663,0.158998107964659,1.4060828230503764,0.09195402298850575,0.05555555555555555,-0.03639846743295019,1.6275331935709294,0.4963927072903852,5.336227259732136,0.5489237494378647,0.09,1.0,1.0
F1,attending,Heat,23,18,0.13043478260869565,0.05555555555555555,0.42592592592592593,0.443370387706836,0.0808678008948765,3.7083563296722772,0.13043478260869565,0.05555555555555555,-0.0748792270531401,1.991869918699187,0.2652042660501135,14.960339183491833,0.617764392218821,0.39,1.0,1.0
F1,attending,Light touch,22,20,0.0,0.0,,,0.021825204218807313,55.44048925587203,0.0,0.0,0.0,0.9111111111111111,0.01727478183167119,48.05406313544257,1.0,0.29,1.0,
F1,attending,Mild touch,26,21,0.0,0.0,,,0.02456516492160131,62.40055067760489,0.0,0.0,0.0,0.8113207547169812,0.015449819542723986,42.605116856819706,1.0,0.28,1.0,
F1,attending,Pin prick,16,13,0.5,0.23076923076923078,0.46153846153846156,0.4844797152577123,0.1459524735454585,1.759705690014065,0.3125,0.23076923076923078,-0.08173076923076922,1.434782608695652,0.29556769014731754,6.964905850126745,0.6968182575378978,0.46,1.0,1.0
F1,escape,ALL,87,72,0.7241379310344828,0.7222222222222222,0.9973544973544973,0.9969803528407504,0.693090188858497,1.4399748847385432,0.4827586206896552,0.4861111111111111,0.0033524904214559115,0.9866893669710571,0.5303230938077391,1.835778826646184,1.0,0.22,1.0,1.0
F1,escape,Heat,23,18,1.0434782608695652,1.0555555555555556,1.0115740740740742,0.9889754752773993,0.5610465505821912,1.8435240992172348,0.6521739130434783,0.6666666666666666,0.01449275362318836,0.9482352941176471,0.2678498234343492,3.356919043221863,1.0,0.31,1.0,1.0
F1,escape,Light touch,22,20,0.45454545454545453,0.5,1.1,0.8260894296553046,0.4676178156484944,2.5875831918892285,0.36363636363636365,0.4,0.036363636363636376,0.8620689655172413,0.2557900936745994,2.905362325146858,1.0,0.32,1.0,1.0
F1,escape,Mild touch,26,21,0.46153846153846156,0.5238095238095238,1.1349206349206349,0.8249813597154916,0.5113660254238521,2.5371835709708312,0.3076923076923077,0.3333333333333333,0.025641025641025605,0.8882882882882883,0.2679091218671506,2.945237838901993,1.0,0.28,1.0,1.0
F1,escape,Pin prick,16,13,1.0625,0.9230769230769231,0.8687782805429864,0.6755429896513345,0.425421077454934,1.8166789589501189,0.6875,0.6153846153846154,-0.07211538461538458,1.3529411764705883,0.3087571339969829,5.928445452559184,0.714142928535732,0.46,1.0,1.0
F1,flinch,ALL,87,72,0.5287356321839081,0.4444444444444444,0.8405797101449275,0.5076113287503233,0.5395080444202791,1.322015064072868,0.41379310344827586,0.375,-0.038793103448275856,1.1726390114739629,0.6210593507181824,2.2140915351173946,0.6294989288289131,0.21,1.0,1.0
F1,flinch,Heat,23,18,0.9565217391304348,0.7222222222222222,0.755050505050505,0.33383720453490695,0.3904470434982317,1.5053969227466812,0.6956521739130435,0.6666666666666666,-0.02898550724637683,1.144,0.3174568681759089,4.122563192662773,1.0,0.29,1.0,1.0
F1,flinch,Light touch,22,20,0.22727272727272727,0.15,0.66,0.5413356720213676,0.1832596419728005,2.6738020151361312,0.22727272727272727,0.15,-0.07727272727272727,1.5714285714285714,0.3523803256082993,7.0077344722332064,0.6997278704595776,0.4,1.0,1.0
F1,flinch,Mild touch,26,21,0.6153846153846154,0.7142857142857143,1.1607142857142856,0.6638729075645696,0.5814388265736166,2.3264814026048075,0.46153846153846156,0.5238095238095238,0.06227106227106227,0.7871064467766117,0.2547930914138431,2.431528088613015,0.7724818212447503,0.34,1.0,1.0
F1,flinch,Pin prick,16,13,0.1875,0.07692307692307693,0.4102564102564103,0.41956317590214576,0.07789273129673724,3.571928504834836,0.1875,0.07692307692307693,-0.11057692307692307,2.1604938271604937,0.2748990789871399,16.979807987705048,0.605911330049261,0.47,1.0,1.0
F1,guarding,ALL,87,72,0.05747126436781609,0.0,0.0,0.039906465496916156,0.0060738346155216,1.9866674658331245,0.05747126436781609,0.0,-0.05747126436781609,9.666666666666666,0.5254129427376606,177.84952909144712,0.06409762982807543,0.16,0.9614644474211315,0.3796226918730246
F1,guarding,Heat,23,18,0.13043478260869565,0.0,0.0,0.12284168698854193,0.009428397252374456,3.534082708839678,0.13043478260869565,0.0,-0.13043478260869565,6.317073170731708,0.30546794841846525,130.63699039779888,0.24268292682926826,0.39,1.0,0.6142084349427097
F1,guarding,Light touch,22,20,0.0,0.0,,,0.021825204218807313,55.44048925587203,0.0,0.0,0.0,0.9111111111111111,0.01727478183167119,48.05406313544257,1.0,0.29,1.0,
F1,guarding,Mild touch,26,21,0.07692307692307693,0.0,0.0,0.20968705017202993,0.011887322824646867,5.158032102622367,0.07692307692307693,0.0,-0.07692307692307693,4.387755102040816,0.1994183930895855,96.54272375385344,0.4949121184088806,0.34,1.0,0.8289953146336068
F1,guarding,Pin prick,16,13,0.0,0.0,,,0.024419808916148044,62.031316649926744,0.0,0.0,0.0,0.8181818181818182,0.015205202770824693,44.025817852805815,1.0,0.38,1.0,
F1,lickbite,ALL,87,72,0.40229885057471265,0.3194444444444444,0.794047619047619,0.5194962529174423,0.47495949368227663,1.347087970362158,0.26436781609195403,0.2222222222222222,-0.04214559386973182,1.2475922010805731,0.6049806439939496,2.5727869406225756,0.5823030652801844,0.17,1.0,1.0
F1,lickbite,Heat,23,18,1.3043478260869565,1.1666666666666667,0.8944444444444445,0.7057566724180104,0.5186701601569752,1.5642156973490378,0.782608695652174,0.7777777777777778,-0.004830917874396157,1.0438871473354232,0.2515818282437334,4.331395411104105,1.0,0.41,1.0,1.0
F1,lickbite,Light touch,22,20,0.09090909090909091,0.1,1.1,0.9407885221773153,0.19056401301092454,6.349572413394937,0.09090909090909091,0.1,0.009090909090909094,0.9024390243902439,0.1401559947568608,5.8106411656184225,1.0,0.36,1.0,1.0
F1,lickbite,Mild touch,26,21,0.0,0.0,,,0.02456516492160131,62.40055067760489,0.0,0.0,0.0,0.8113207547169812,0.015449819542723986,42.605116856819706,1.0,0.28,1.0,
F1,lickbite,Pin prick,16,13,0.1875,0.0,0.0,0.11441820333100311,0.009081533139410847,3.4040662881131345,0.1875,0.0,-0.1875,7.0,0.32894829165248035,148.95958192653083,0.2315270935960591,0.47,1.0,0.6142084349427097
F1,withdrawal,ALL,87,72,0.7816091954022989,0.6666666666666666,0.8529411764705881,0.3981292237223215,0.5922385101992874,1.2358882483770373,0.4942528735632184,0.4305555555555556,-0.06369731800766282,1.2878544676297485,0.6901452148351498,2.4032176042690874,0.43037907272347076,0.22,1.0,1.0
F1,withdrawal,Heat,23,18,1.434782608695652,1.2777777777777777,0.8905723905723906,0.6339052539033542,0.5289724309071208,1.5188809470556714,0.7391304347826086,0.7222222222222222,-0.016908212560386437,1.0968660968660968,0.28742721570088414,4.185808332452092,1.0,0.26,1.0,1.0
F1,withdrawal,Light touch,22,20,0.3181818181818182,0.2,0.6285714285714287,0.3991947877271367,0.20510491706527068,2.123791112532806,0.3181818181818182,0.2,-0.11818181818181817,1.7741935483870968,0.45587337687198054,6.904905850692746,0.49130368642563754,0.3,1.0,1.0
F1,withdrawal,Mild touch,26,21,0.7307692307692307,0.7142857142857143,0.9774436090225564,0.9056239767492745,0.505113904160986,1.9174010315467351,0.46153846153846156,0.42857142857142855,-0.032967032967033016,1.134301270417423,0.36527366843427905,3.522398363905268,1.0,0.34,1.0,1.0
F1,withdrawal,Pin prick,16,13,0.5625,0.46153846153846156,0.8205128205128206,0.745059816331938,0.31050826324025627,2.2838080598503363,0.4375,0.38461538461538464,-0.05288461538461536,1.2200956937799043,0.28973648080559355,5.137887703478752,1.0,0.39,1.0,1.0
F2,attending,ALL,88,72,0.5795454545454546,0.2777777777777778,0.4793028322440087,0.005508215090734767,0.291610833874213,0.8116895611365325,0.45454545454545453,0.2638888888888889,-0.19065656565656564,2.291038858049167,1.1776466660826184,4.4570746050267305,0.014137312973275282,0.21,0.2544716335189551,0.1222425453689972
F2,attending,Heat,20,18,0.75,0.3888888888888889,0.5185185185185185,0.07804322580596108,0.2248346974568771,1.285614545185685,0.65,0.3888888888888889,-0.2611111111111111,2.76,0.7659937700766098,9.944728400647612,0.19268205207171207,0.32,1.0,0.5709552259765589
F2,attending,Light touch,17,13,0.23529411764705882,0.3076923076923077,1.3076923076923077,0.7412271368118071,0.3540197133137074,4.830406633548961,0.17647058823529413,0.23076923076923078,0.05429864253393665,0.7241379310344828,0.13481580401769427,3.8895717529828944,1.0,0.46,1.0,1.0
F2,attending,Mild touch,20,16,0.3,0.3125,1.0416666666666667,0.7750513736700824,0.33977663471827474,3.292495432121336,0.25,0.3125,0.0625,0.7419354838709677,0.1817348613864991,3.028963502253733,0.7224750283704677,0.43,1.0,1.0
